unit,age,sex,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,TOTAL,F,ED2,BG	106174 	104938 	105812 	108644 	110935 	: 
NR,TOTAL,F,ED2,CH	124416 	124959 	126865 	128853 	130552 	: 
NR,TOTAL,F,ED2,CY	12905 	12867 	13132 	13601 	14002 	: 
NR,TOTAL,F,ED2,CZ	187540 	182582 	180039 	178366 	177447 	: 
NR,TOTAL,F,ED2,DE	2151090 	2163235 	2187095 	2227797 	2275899 	2304520 
NR,TOTAL,F,ED2,DK	115803 	117012 	118223 	118322 	119148 	: 
NR,TOTAL,F,ED2,EE	18717 	18366 	17759 	17476 	17502 	: 
NR,TOTAL,F,ED2,EL	154560 	153461 	153260 	150163 	154655 	: 
NR,TOTAL,F,ED2,ES	785246 	775826 	774543 	780842 	795334 	: 
NR,TOTAL,F,ED2,EU28	: 	: 	9941595 	10009939 	10133505 	: 
NR,TOTAL,F,ED2,FI	86877 	86232 	86951 	87327 	88832 	: 
NR,TOTAL,F,ED2,FR	1632562 	1635755 	1644857 	1630330 	1621761 	: 
NR,TOTAL,F,ED2,HR	86925 	87276 	88740 	91335 	94314 	: 
NR,TOTAL,F,ED2,HU	184987 	184849 	186026 	186534 	187867 	: 
NR,TOTAL,F,ED2,IE	99678 	94588 	92805 	91500 	92179 	: 
NR,TOTAL,F,ED2,IS	6201 	6187 	6286 	6343 	6275 	: 
NR,TOTAL,F,ED2,IT	844789 	847446 	848846 	859065 	867488 	: 
NR,TOTAL,F,ED2,LI	735 	732 	746 	800 	816 	: 
NR,TOTAL,F,ED2,LT	80762 	83716 	86840 	90694 	96602 	: 
NR,TOTAL,F,ED2,LU	10491 	10473 	10607 	10752 	10688 	: 
NR,TOTAL,F,ED2,LV	27190 	27233 	26758 	26367 	26289 	: 
NR,TOTAL,F,ED2,ME	14180 	14613 	15014 	: 	: 	: 
NR,TOTAL,F,ED2,MK	41055 	39225 	40910 	40526 	41911 	: 
NR,TOTAL,F,ED2,MT	6179 	6076 	6090 	6210 	6460 	: 
NR,TOTAL,F,ED2,NL	388287 	389600 	390773 	382514 	378707 	: 
NR,TOTAL,F,ED2,NO	94018 	90575 	91836 	92182 	92663 	: 
NR,TOTAL,F,ED2,PL	522473 	526536 	535134 	549575 	567628 	: 
NR,TOTAL,F,ED2,PT	177968 	180007 	184983 	185055 	193380 	: 
NR,TOTAL,F,ED2,RO	369793 	371818 	377838 	388171 	391303 	: 
NR,TOTAL,F,ED2,RS	136683 	138560 	138882 	136066 	135959 	: 
NR,TOTAL,F,ED2,SE	179312 	172337 	165881 	161274 	159615 	: 
NR,TOTAL,F,ED2,SI	26247 	25878 	26412 	26298 	26292 	: 
NR,TOTAL,F,ED2,SK	122088 	121861 	122880 	124482 	125272 	: 
NR,TOTAL,F,ED2,TR	2726593 	2576094 	2607989 	2715804 	2751452 	: 
NR,TOTAL,F,ED2,UK	1266645 	: 	1122897 	1136702 	1152503 	: 
NR,TOTAL,F,ED3,AT	162966 	164856 	168416 	170998 	174237 	: 
NR,TOTAL,F,ED3,BE	402069 	407236 	410715 	412298 	412018 	: 
NR,TOTAL,F,ED3,BG	125947 	127511 	133329 	138604 	135276 	: 
NR,TOTAL,F,ED3,CH	165881 	166310 	167063 	166073 	165791 	: 
NR,TOTAL,F,ED3,CY	14015 	14286 	14800 	15086 	15687 	: 
NR,TOTAL,F,ED3,CZ	189960 	191580 	196728 	202803 	213960 	: 
NR,TOTAL,F,ED3,DE	1134017 	1169644 	1176774 	1182724 	1181121 	1207048 
NR,TOTAL,F,ED3,DK	145748 	149440 	156689 	156362 	154451 	: 
NR,TOTAL,F,ED3,EE	22040 	20802 	20047 	20276 	21604 	: 
NR,TOTAL,F,ED3,EL	162809 	160613 	159950 	167325 	178705 	: 
NR,TOTAL,F,ED3,ES	847456 	847098 	834304 	822296 	812254 	: 
NR,TOTAL,F,ED3,EU28	: 	10826457 	10712100 	10815545 	10883826 	: 
NR,TOTAL,F,ED3,FI	191224 	190199 	189709 	187714 	188323 	: 
NR,TOTAL,F,ED3,FR	1332819 	1313078 	1289688 	1292751 	1281044 d	: 
NR,TOTAL,F,ED3,HR	82545 	86510 	90860 	92410 	93603 	: 
NR,TOTAL,F,ED3,HU	207741 	206413 	217045 	231995 	246930 	: 
NR,TOTAL,F,ED3,IE	90904 	83612 	82679 	80213 	76793 	: 
NR,TOTAL,F,ED3,IS	11009 	11322 	11809 	12312 	12747 	: 
NR,TOTAL,F,ED3,IT	1364533 	1364940 	1366340 	1353007 	1346367 	: 
NR,TOTAL,F,ED3,LI	717 	711 	731 	717 	708 	: 
NR,TOTAL,F,ED3,LT	34655 	35432 	38381 	41226 	43306 	: 
NR,TOTAL,F,ED3,LU	13205 	13120 	12714 	12322 	12115 	: 
NR,TOTAL,F,ED3,LV	29818 	29222 	30072 	31877 	34336 	: 
NR,TOTAL,F,ED3,ME	13504 	13627 	14182 	: 	: 	: 
NR,TOTAL,F,ED3,MK	36038 	38405 	40453 	41272 	43059 	: 
NR,TOTAL,F,ED3,MT	8794 	9498 	9911 	9823 	9706 	: 
NR,TOTAL,F,ED3,NL	420663 	401387 	401415 	355739 	358078 	: 
NR,TOTAL,F,ED3,NO	119028 	118815 	116962 	117245 	118587 	: 
NR,TOTAL,F,ED3,PL	634883 	655756 	685592 	714299 	762503 	: 
NR,TOTAL,F,ED3,PT	196527 	192368 	193796 	190353 	197782 	: 
NR,TOTAL,F,ED3,RO	361260 	363030 	380893 	391257 	412372 	: 
NR,TOTAL,F,ED3,RS	124007 	126259 	130065 	134887 	140358 	: 
NR,TOTAL,F,ED3,SE	279261 	265093 	269915 	265315 	273678 	: 
NR,TOTAL,F,ED3,SI	46051 	46863 	43084 	44031 	45261 	: 
NR,TOTAL,F,ED3,SK	94447 	97105 	99570 	103461 	111493 	: 
NR,TOTAL,F,ED3,TR	2723948 	2760501 	2702143 	2560696 	2352209 	: 
NR,TOTAL,F,ED3,UK	1901431 	2219766 	2038684 	2128980 	2090824 	: 
NR,TOTAL,F,ED4,AT	15268 	15756 	15949 	15970 	15805 	: 
NR,TOTAL,F,ED4,BE	32726 	34219 	33630 	35280 	34468 	: 
NR,TOTAL,F,ED4,BG	597 	598 	743 	1017 	1180 	: 
NR,TOTAL,F,ED4,CH	7977 	8091 	8459 	8389 	8331 	: 
NR,TOTAL,F,ED4,CY	61 	79 	67 	40 	18 	: 
NR,TOTAL,F,ED4,CZ	34640 	38344 	43364 d	41662 	38339 	: 
NR,TOTAL,F,ED4,DE	432506 	420660 	438650 	439985 	473649 	261728 
NR,TOTAL,F,ED4,DK	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,EE	4009 	4947 	6280 	6792 	6632 	: 
NR,TOTAL,F,ED4,EL	43072 	36993 	30571 	9329 	7745 	: 
NR,TOTAL,F,ED4,ES	14047 	14049 	16234 	0 d	: 	: 
NR,TOTAL,F,ED4,EU28	: 	959311 	991926 	955752 	: 	: 
NR,TOTAL,F,ED4,FI	14271 	13141 	12271 	12227 	12529 	: 
NR,TOTAL,F,ED4,FR	22357 	22512 	21855 	21539 	22707 d	: 
NR,TOTAL,F,ED4,HR	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,HU	43864 	39171 	40973 	41349 	40214 	: 
NR,TOTAL,F,ED4,IE	26583 	39380 	38991 	31755 	28797 	: 
NR,TOTAL,F,ED4,IS	323 	316 	293 	291 	266 	: 
NR,TOTAL,F,ED4,IT	: 	667 	667 	3896 	3883 	: 
NR,TOTAL,F,ED4,LI	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,LT	11997 	11055 	10494 	9338 	8224 	: 
NR,TOTAL,F,ED4,LU	129 	152 	146 	137 	194 	: 
NR,TOTAL,F,ED4,LV	3030 	2701 	2705 	2416 	2002 	: 
NR,TOTAL,F,ED4,ME	: z	: z	: 	: 	: 	: 
NR,TOTAL,F,ED4,MK	112 	39 	33 	30 	44 	: 
NR,TOTAL,F,ED4,MT	41 	64 	94 	43 	34 	: 
NR,TOTAL,F,ED4,NL	: z	: z	: z	119 	517 	: 
NR,TOTAL,F,ED4,NO	4721 	4335 	4502 	4125 	3724 	: 
NR,TOTAL,F,ED4,PL	175459 	180313 	184732 	189580 	216564 	: 
NR,TOTAL,F,ED4,PT	1593 	1980 	4273 	3952 	3429 	: 
NR,TOTAL,F,ED4,RO	62816 	65560 	69556 	68516 	63672 	: 
NR,TOTAL,F,ED4,RS	237 	258 	391 	261 	295 	: 
NR,TOTAL,F,ED4,SE	13701 	9690 	12178 	12949 	12723 	: 
NR,TOTAL,F,ED4,SI	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,SK	7354 	7280 	7503 	7861 	8745 	: 
NR,TOTAL,F,ED4,TR	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,UK	: zd	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,AT	40562 	41271 	41849 	41624 	41240 	: 
NR,TOTAL,F,ED5,BE	14696 	15351 	15425 	15467 	14956 	: 
NR,TOTAL,F,ED5,BG	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,CH	2639 	2755 	6125 	5706 	6282 	: 
NR,TOTAL,F,ED5,CY	1462 	1454 	1594 	1673 	1889 	: 
NR,TOTAL,F,ED5,CZ	634 	597 	577 	605 	628 	: 
NR,TOTAL,F,ED5,DE	218 	215 	293 	362 	441 	: 
NR,TOTAL,F,ED5,DK	16695 	16316 	17236 	16814 	15459 	: 
NR,TOTAL,F,ED5,EE	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,EL	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,ES	187230 	177052 	179404 	177578 	171893 	: 
NR,TOTAL,F,ED5,EU28	: 	733641 	728710 	741652 	787241 	: 
NR,TOTAL,F,ED5,FI	: z	: z	: z	5 	13 	: 
NR,TOTAL,F,ED5,FR	244610 	243182 	244805 	249800 	253337 d	: 
NR,TOTAL,F,ED5,HR	38 	49 	90 	85 	: d	: 
NR,TOTAL,F,ED5,HU	8426 	7492 	7323 	12968 	23476 	: 
NR,TOTAL,F,ED5,IE	10347 	8664 	8923 	9494 	: 	: 
NR,TOTAL,F,ED5,IS	296 	253 	245 	271 	204 	: 
NR,TOTAL,F,ED5,IT	2982 	2176 	1637 	1216 	590 	: 
NR,TOTAL,F,ED5,LI	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,LT	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,LU	427 	355 	319 	340 	201 	: 
NR,TOTAL,F,ED5,LV	8463 	9058 	9688 	10032 	10343 	: 
NR,TOTAL,F,ED5,ME	: z	: z	: 	: 	: 	: 
NR,TOTAL,F,ED5,MK	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,MT	1127 	1180 	1408 	1085 	1329 	: 
NR,TOTAL,F,ED5,NL	13021 	11496 	10604 	2850 	2316 	: 
NR,TOTAL,F,ED5,NO	1451 	1515 	1645 	1933 	2454 	: 
NR,TOTAL,F,ED5,PL	176 	268 	2208 	4774 	8917 	: 
NR,TOTAL,F,ED5,PT	4165 	2306 	110 	: z	: z	: 
NR,TOTAL,F,ED5,RO	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,RS	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,SE	11937 	11905 	12502 	12686 	12925 	: 
NR,TOTAL,F,ED5,SI	4465 	4606 	4920 	5945 	5801 	: 
NR,TOTAL,F,ED5,SK	1787 	1767 	1810 	1930 	1935 	: 
NR,TOTAL,F,ED5,TR	1220155 	1087063 	950939 	820922 	699902 	: 
NR,TOTAL,F,ED5,UK	173777 d	176881 	165985 	174319 	202316 	: 
NR,TOTAL,F,ED6,AT	103059 	101469 	96769 	94737 	95686 	: 
NR,TOTAL,F,ED6,BE	215156 	206859 	205911 	204087 	204034 	: 
NR,TOTAL,F,ED6,BG	86063 	92906 	98276 	100690 	103754 	: 
NR,TOTAL,F,ED6,CH	100351 	98382 	96134 	95062 	91654 	: 
NR,TOTAL,F,ED6,CY	10527 	10202 	10480 	10611 	10457 	: 
NR,TOTAL,F,ED6,CZ	117915 	126842 	135707 	146402 	152436 	: 
NR,TOTAL,F,ED6,DE	862614 	841674 	810960 	776792 	722611 	84500 
NR,TOTAL,F,ED6,DK	114804 	114179 	114830 	110875 	107013 	: 
NR,TOTAL,F,ED6,EE	17373 	18978 	20853 	23148 	25300 	: 
NR,TOTAL,F,ED6,EL	300205 	295771 	290456 	303736 	281958 	: 
NR,TOTAL,F,ED6,ES	656390 	652643 	650767 	640882 	587466 	: 
NR,TOTAL,F,ED6,EU28	: 	6400066 	6434167 	6442460 	6412389 	: 
NR,TOTAL,F,ED6,FI	109265 	111744 	114216 	116601 	119153 	: 
NR,TOTAL,F,ED6,FR	609995 	596684 	578542 	561900 	544563 d	: 
NR,TOTAL,F,ED6,HR	52841 	52725 	53753 	55371 	54624 d	: 
NR,TOTAL,F,ED6,HU	98565 	105651 	114476 	123092 	126955 	: 
NR,TOTAL,F,ED6,IE	84591 	82915 	80724 	76987 	64269 	: 
NR,TOTAL,F,ED6,IS	7854 	8115 	8225 	8521 	8369 	: 
NR,TOTAL,F,ED6,IT	592866 	581386 	585317 	597580 	611059 	: 
NR,TOTAL,F,ED6,LI	167 	143 	131 	159 	178 	: 
NR,TOTAL,F,ED6,LT	52091 	56031 	59914 	63578 	70099 	: 
NR,TOTAL,F,ED6,LU	1629 	1637 	1643 	1676 	1748 	: 
NR,TOTAL,F,ED6,LV	26862 	27984 	28853 	32521 	36858 	: 
NR,TOTAL,F,ED6,ME	12704 	12574 	: 	: 	: 	: 
NR,TOTAL,F,ED6,MK	32297 	32837 	32175 	31450 	31005 	: 
NR,TOTAL,F,ED6,MT	4515 	4330 	3977 	3889 	3889 	: 
NR,TOTAL,F,ED6,NL	339801 	328138 	335802 	294866 	285730 	: 
NR,TOTAL,F,ED6,NO	121685 	119339 	114827 	113296 	112175 	: 
NR,TOTAL,F,ED6,PL	578737 d	595857 d	620577 d	663355 	723764 	: 
NR,TOTAL,F,ED6,PT	109071 	108919 	109751 	119351 	119636 	: 
NR,TOTAL,F,ED6,RO	179382 	181707 	181669 	194193 	210509 	: 
NR,TOTAL,F,ED6,RS	112696 	108821 	106334 	109202 	108833 	: 
NR,TOTAL,F,ED6,SE	152752 	153574 	155205 	155748 	159754 	: 
NR,TOTAL,F,ED6,SI	25977 	26606 	28855 	31363 	31913 	: 
NR,TOTAL,F,ED6,SK	49751 	54293 	103704 d	111351 d	117872 d	: 
NR,TOTAL,F,ED6,TR	1809975 	1722579 	1611738 	1503919 	1395159 	: 
NR,TOTAL,F,ED6,UK	890127 	868362 	842180 	844079 	840023 	: 
NR,TOTAL,F,ED7,AT	73316 	75091 	76940 	76588 	76918 	: 
NR,TOTAL,F,ED7,BE	55267 	53105 	53114 	50197 	46531 	: 
NR,TOTAL,F,ED7,BG	44740 	47433 	50527 	49985 	48375 	: 
NR,TOTAL,F,ED7,CH	34965 	33995 	33524 	32254 	30364 	: 
NR,TOTAL,F,ED7,CY	11650 	9692 	8406 	6526 	4886 	: 
NR,TOTAL,F,ED7,CZ	73482 	75180 	79452 	81155 	81332 	: 
NR,TOTAL,F,ED7,DE	549037 	539085 	529294 	516679 	500622 	: 
NR,TOTAL,F,ED7,DK	39794 	41951 	41932 	40088 	38437 	: 
NR,TOTAL,F,ED7,EE	9251 	9404 	9950 	10367 	10805 	: 
NR,TOTAL,F,ED7,EL	43139 	33235 	30702 	32126 	27869 	: 
NR,TOTAL,F,ED7,ES	192619 	191290 	197619 	226873 	283844 	: 
NR,TOTAL,F,ED7,EU28	: 	3086144 	3054575 	3065178 	3113616 	: 
NR,TOTAL,F,ED7,FI	37768 	36280 	37428 	37038 	35963 	: 
NR,TOTAL,F,ED7,FR	493442 	477867 	465697 	458080 	444867 d	: 
NR,TOTAL,F,ED7,HR	39063 	37562 	35859 	37089 	36341 	: 
NR,TOTAL,F,ED7,HU	45104 	43666 	42395 	42263 	44116 	: 
NR,TOTAL,F,ED7,IE	16819 	16519 	15500 	12556 	15020 	: 
NR,TOTAL,F,ED7,IS	3013 	3199 	3120 	3326 	3020 	: 
NR,TOTAL,F,ED7,IT	412155 	416213 	425244 	436865 	438888 	: 
NR,TOTAL,F,ED7,LI	99 	90 	76 	71 	69 	: 
NR,TOTAL,F,ED7,LT	17483 	18436 	19480 	21004 	21566 	: 
NR,TOTAL,F,ED7,LU	1263 	1295 	1300 	1227 	1237 	: 
NR,TOTAL,F,ED7,LV	11302 	11390 	11277 	7677 	7105 	: 
NR,TOTAL,F,ED7,ME	895 	662 	: 	: 	: 	: 
NR,TOTAL,F,ED7,MK	1677 	1677 	2180 	1489 	1986 	: 
NR,TOTAL,F,ED7,MT	2349 	1941 	1959 	1908 	1734 	: 
NR,TOTAL,F,ED7,NL	97529 	87579 	87117 	55883 	52857 	: 
NR,TOTAL,F,ED7,NO	38080 	36540 	34919 	33765 	31794 	: 
NR,TOTAL,F,ED7,PL	312695 d	324938 d	336841 d	355113 	383004 	: 
NR,TOTAL,F,ED7,PT	61195 	60801 	59655 	63682 	61370 	: 
NR,TOTAL,F,ED7,RO	97965 	98220 	99713 	107091 	112181 	: 
NR,TOTAL,F,ED7,RS	27632 	24414 	23201 	20864 	21069 	: 
NR,TOTAL,F,ED7,SE	79553 	77744 	75747 	76288 	77448 	: 
NR,TOTAL,F,ED7,SI	13940 d	14114 	14602 	15205 	16580 	: 
NR,TOTAL,F,ED7,SK	37401 	39053 	: d	: d	: d	: 
NR,TOTAL,F,ED7,TR	245083 	222324 	190863 	154348 	138843 	: 
NR,TOTAL,F,ED7,UK	260472 	247060 	246826 	245986 	244718 	: 
NR,TOTAL,F,ED8,AT	10515 	10877 	11179 	11520 	12093 	: 
NR,TOTAL,F,ED8,BE	7912 	7751 	7596 	7228 	6648 	: 
NR,TOTAL,F,ED8,BG	3500 	3460 	3398 	3067 	2744 	: 
NR,TOTAL,F,ED8,CH	11500 	11263 	10860 	10504 	10199 	: 
NR,TOTAL,F,ED8,CY	793 	733 	619 	508 	461 	: 
NR,TOTAL,F,ED8,CZ	10453 	10570 	10865 	11063 	11018 	: 
NR,TOTAL,F,ED8,DE	87800 d	87300 d	87100 	86700 	86400 	84500 
NR,TOTAL,F,ED8,DK	4963 	5014 	5073 	4977 	4781 	: 
NR,TOTAL,F,ED8,EE	1525 	1618 	1666 	1715 	1781 	: 
NR,TOTAL,F,ED8,EL	13616 	15197 	14917 	11241 	10932 	: 
NR,TOTAL,F,ED8,ES	35537 	27623 	15914 	12028 	11376 	: 
NR,TOTAL,F,ED8,EU28	: 	360530 	350211 	343335 	341382 	: 
NR,TOTAL,F,ED8,FI	10013 	10292 	10469 	10522 	10733 	: 
NR,TOTAL,F,ED8,FR	31264 	31810 	32176 	32582 	32790 d	: 
NR,TOTAL,F,ED8,HR	1808 	1771 	1794 	1757 	1975 	: 
NR,TOTAL,F,ED8,HU	3611 	3686 	3641 	3680 	3578 	: 
NR,TOTAL,F,ED8,IE	4316 	4306 	4117 	3995 	4071 	: 
NR,TOTAL,F,ED8,IS	284 	283 	321 	305 	286 	: 
NR,TOTAL,F,ED8,IT	13974 	16667 	16684 	17229 	18012 	: 
NR,TOTAL,F,ED8,LI	36 	41 	34 	37 	22 	: 
NR,TOTAL,F,ED8,LT	1590 	1604 	1572 	1593 	1584 	: 
NR,TOTAL,F,ED8,LU	271 	258 	254 	243 	203 	: 
NR,TOTAL,F,ED8,LV	1386 	1380 	1338 	1375 	1425 	: 
NR,TOTAL,F,ED8,ME	10 	21 	: 	: 	: 	: 
NR,TOTAL,F,ED8,MK	217 	216 	153 	75 	129 	: 
NR,TOTAL,F,ED8,MT	70 	54 	44 	36 	30 	: 
NR,TOTAL,F,ED8,NL	7406 	7424 	7221 	6941 	6763 	: 
NR,TOTAL,F,ED8,NO	4279 	3984 	3838 	3797 	3787 	: 
NR,TOTAL,F,ED8,PL	23772 d	23612 d	23548 	23340 	22456 	: 
NR,TOTAL,F,ED8,PT	10270 	10035 	10274 	10915 	10349 	: 
NR,TOTAL,F,ED8,RO	9289 	8505 	9289 	9972 	10536 	: 
NR,TOTAL,F,ED8,RS	6574 	5736 	4925 	4382 	3525 	: 
NR,TOTAL,F,ED8,SE	9642 	9847 	10246 	10442 	10484 	: 
NR,TOTAL,F,ED8,SI	1367 	1236 	1429 	1593 	1929 	: 
NR,TOTAL,F,ED8,SK	3515 	3935 	4338 	4749 	5212 	: 
NR,TOTAL,F,ED8,TR	37667 	35702 	32688 	28890 	34849 	: 
NR,TOTAL,F,ED8,UK	54212 	53965 	53450 	52324 	51097 	: 
NR,TOTAL,M,ED0,AT	159534 	155529 	146992 	145169 	140956 	: 
NR,TOTAL,M,ED0,BE	233698 	235225 	236215 	237312 	234266 	: 
NR,TOTAL,M,ED0,BG	116191 	119958 	124479 	123947 	121253 	: 
NR,TOTAL,M,ED0,CH	89046 	88763 	87308 	85801 	81528 	: 
NR,TOTAL,M,ED0,CY	16459 	15772 	15200 	11609 	11727 	: 
NR,TOTAL,M,ED0,CZ	191559 	193833 	193456 	190717 	185909 	: 
NR,TOTAL,M,ED0,DE	1631061 	1590989 	1551252 	1528759 	1485788 	: 
NR,TOTAL,M,ED0,DK	143964 	146999 	149978 	153883 	158228 	: 
